address,points,boost
0x5451A1fB4630119cbA02B3b8164f5363118A5AF4,532221.43,0.65
0xFBCEEa86E0709428Ab32d277556D822628FCa597,93017.06,0
0xac962A78EFCb01f4eC9DD637FDB57525cA598357,92766,0
0xb0522f74442659382da12F13449155B616353547,90232.55,0
0x4aD72026Aa63999535893570Bf32332e8a4F3A18,88391.55,0
0x046FD0BB2317638ad55b30e92CB60a172Cb9b40F,86189.31,0
0x4484101c683387A8952FD609338563d4E3c0c9A0,81889.03,0.65
0x0E6BE8680d11A4551797496ec889f3dD12498F89,63523.4,0
0x455b59114130DB59c927d0a1E1e9aE8F51E222Ff,58962.06,0
0xe2c3BC708fde6F65a4460a2F90f44b46De8B260a,43116.67,0
0x6E1b4463Ca5FD51fdCFa4213f00a2E9229bD4961,42317.38,0
0x9a01636143e51d478e11A1924156840D8C7a0BeD,37160.71,0.65
0x94FF3881deBEc971e7Ec863745342DE27542c381,27883.31,0
0x3Aea690e600ceaDDd39007Ad62ca6CbB993b3624,25522.14,0.375
0x37F6c7149f2481A88a2241057d2756F7CE5E44c8,18914.51,0.375
0xD0e54C56049F8b0f379a659de20313C810802c67,17026.34,0.5
0xaaE71F458e76cF32016F99202DCC642102A2C3AA,13972.63,0
0xbC5FFFBd6CFE5e74281b42F84946073A270dB069,10528.76,0
0xd9ecA5Fd811ed6DdEc14E6EEd0e6eb72D6784026,10196.86,0.375
0xaA1c37c8AF69489ef7be6F235099E4B650d87e1A,9423.48,0.375
0x04B7B5Bac68c96a909035a0d2E08c697554F19Aa,9362.53,0.65
0x818234d169f14FCAb3380A541b5a6aF1A57d1406,8440.59,0
0xFce96C21f82336607A5CF9Fd0aDB122B0906E117,8383.37,0.375
0xd41c6BC596b2f32A80d07EF50E6e25065114C0f8,8246.97,0.25
0xdC19E7a997293AFCBBAED96049C2E19210a563DF,8210.89,0.1
0x3145BD5DE867aCFB9Aa86EF6c930e5e043805E2F,6982.43,0.375
0xAb4C81314c252E3090cb0BF6320545Ae2Ee04CeE,6747.97,0.375
0x3cAd0B8B59bf24c3EcBa648C08627EDe8Fc27244,6553.67,0.375
0x8AacCE678A83Ad1B7C7C6E6F2841189eE0bF56ff,6138.33,0.375
0x1238B0225cCa4fB5dD29B2f4F23Cd08b4D4c21b8,6089.03,0.375
0x26cCCc1a84c4279c05c48485A802712ADa8f6a72,5989.44,0.1
